  PID TTY           TIME CMD
  626 ??         0:00.03 /usr/libexec/spindump_agent
  628 ??         0:00.41 /System/Library/PrivateFrameworks/AssetCacheServices.f
  629 ??         0:00.13 /usr/libexec/AssetCache/AssetCache
  630 ??         0:00.01 SafeEjectGPUAgent
  631 ??         0:00.16 /System/Library/PrivateFrameworks/CommunicationsFilter
  632 ??         0:00.07 /System/Library/CoreServices/Menu Extras/SafeEjectGPUE
  633 ??         0:00.17 /usr/libexec/SidecarRelay
  635 ??         0:00.11 /System/Library/PrivateFrameworks/CoreCDP.framework/Ve
  636 ??         0:02.12 /System/Library/Frameworks/VideoToolbox.framework/Vers
  638 ??         9:43.77 /Applications/Notion.app/Contents/Frameworks/Notion He
  639 ??         0:04.57 /Applications/Notion.app/Contents/Frameworks/Notion He
  640 ??         0:16.58 /Applications/Notion.app/Contents/Frameworks/Notion He
  641 ??         0:04.79 /Applications/Notion.app/Contents/Frameworks/Notion He
  643 ??         0:04.03 /Applications/Notion.app/Contents/Frameworks/Notion He
  645 ??         0:05.30 /Applications/Google Chrome.app/Contents/Frameworks/Go
  653 ??         0:00.03 /usr/libexec/loginitemregisterd
  655 ??         0:10.03 /System/Library/PrivateFrameworks/AssistantServices.fr
  656 ??         0:06.90 /usr/libexec/swcd
  657 ??         0:05.42 /Applications/Google Chrome.app/Contents/Frameworks/Go
  661 ??         0:00.09 /System/Library/Frameworks/VideoToolbox.framework/Vers
  665 ??         0:00.25 /System/Library/Frameworks/AudioToolbox.framework/Audi
  668 ??         3:12.55 /Applications/Notion.app/Contents/Frameworks/Notion He
  670 ??         0:00.44 /Applications/Notion.app/Contents/Frameworks/Notion He
  673 ??         6:19.02 /Applications/Notion.app/Contents/Frameworks/Notion He
  675 ??         0:00.44 /Applications/Notion.app/Contents/Frameworks/Notion He
  680 ??         0:00.96 /System/Library/PrivateFrameworks/CloudDocsDaemon.fram
  681 ??         0:19.55 /System/Library/PrivateFrameworks/CoreSpeech.framework
  686 ??         0:00.09 /System/Library/CoreServices/SocialPushAgent.app/Conte
  687 ??         0:12.24 2BUA8C4S2C.com.agilebits.onepassword7-helper
  690 ??         0:00.34 /Library/Sophos Anti-Virus/SophosAgent.app/Contents/Ma
  691 ??         0:23.89 /System/Library/CoreServices/Siri.app/Contents/MacOS/S
  692 ??         0:01.33 /System/Library/Image Capture/Support/icdd
  695 ??         0:10.13 /Library/Application Support/Malwarebytes/MBAM/Engine.
  700 ??         0:00.94 /System/Library/PrivateFrameworks/AskPermission.framew
  702 ??         0:39.07 /Library/Application Support/Adobe/AdobeGCClient/AGMSe
  703 ??         0:10.61 /Applications/Sophos/Sophos Home.app/Contents/MacOS/So
  704 ??         0:00.54 /System/Library/CoreServices/AirPlayUIAgent.app/Conten
  706 ??         0:07.52 /System/Library/CoreServices/cloudpaird
  708 ??         0:16.56 /Applications/Utilities/Adobe Creative Cloud/ACC/Creat
  709 ??         0:06.44 /Library/Application Support/Avira/StatusMenu.app/Cont
  711 ??         0:02.47 /System/Library/CoreServices/diagnostics_agent
  712 ??         0:02.58 /System/Library/CoreServices/TextInputMenuAgent.app/Co
  715 ??         0:01.29 /System/Library/PrivateFrameworks/AppleMediaServices.f
  717 ??         0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ct
  720 ??         0:04.81 /Applications/EncryptMe.app/Contents/MacOS/EncryptMe
  721 ??         0:00.04 /System/Library/Frameworks/CryptoTokenKit.framework/ct
  722 ??         0:00.17 /Applications/1Password 7.app/Contents/Library/LoginIt
  730 ??         0:40.19 /Applications/Utilities/Adobe Creative Cloud Experienc
  750 ??         0:02.17 /System/Library/PrivateFrameworks/FileProvider.framewo
  757 ??         0:03.12 /Applications/NoMachine.app/Contents/Frameworks/bin/nx
  767 ??         0:00.47 /Applications/Notion.app/Contents/Frameworks/Notion He
  772 ??         0:42.09 /Library/Application Support/Adobe/Adobe Desktop Commo
  773 ??         0:00.55 /Applications/Notion.app/Contents/Frameworks/Notion He
  778 ??         0:09.17 /System/Library/Frameworks/CoreServices.framework/Fram
  784 ??         0:00.14 /Library/Application Support/Avira/StatusMenu.app/Cont
  785 ??         0:00.03 /usr/libexec/DataDetectorsSourceAccess
  789 ??         0:00.04 /System/Library/PrivateFrameworks/AssetCacheServicesEx
  795 ??         0:01.09 /System/Library/Frameworks/ApplicationServices.framewo
  800 ??         0:03.28 /System/Library/PrivateFrameworks/CacheDelete.framewor
  806 ??         0:00.82 /System/Library/CoreServices/ReportPanic.app/Contents/
  810 ??         0:00.58 /System/Library/PrivateFrameworks/Categories.framework
  811 ??         0:02.04 /Applications/Utilities/Adobe Creative Cloud/ACC/Creat
  812 ??         0:20.03 /System/Library/PrivateFrameworks/CoreSuggestions.fram
  813 ??         0:00.09 /System/Library/Frameworks/Metal.framework/Versions/A/
  814 ??         0:00.15 /System/Library/Frameworks/Metal.framework/Versions/A/
  816 ??         0:00.09 /System/Library/Frameworks/VideoToolbox.framework/Vers
  819 ??         0:01.06 /System/Library/PrivateFrameworks/SoftwareUpdate.frame
  821 ??         0:21.46 /System/Library/CoreServices/Software Update.app/Conte
  822 ??         0:00.14 /System/Library/CoreServices/Software Update.app/Conte
  823 ??         0:00.06 /Library/PrivilegedHelperTools/com.bourgeoisbits.cloak
  829 ??         0:31.52 /Library/Application Support/Adobe/Adobe Desktop Commo
  831 ??         0:18.80 /Applications/Utilities/Adobe Creative Cloud/ACC/Creat
  834 ??         0:00.49 /Applications/Utilities/Adobe Creative Cloud/ACC/Creat
  835 ??         0:32.75 /Applications/Utilities/Adobe Creative Cloud/ACC/Creat
  836 ??         0:00.21 /Applications/OneDrive.app/Contents/StandaloneUpdaterD
  851 ??         0:00.01 /System/Library/CoreServices/ReportCrash agent
  852 ??         0:10.53 /Applications/Utilities/Adobe Creative Cloud/ACC/Creat
  854 ??         0:18.76 /Applications/Utilities/Adobe Creative Cloud/ACC/Creat
  855 ??         0:10.13 /Library/Application Support/Adobe/Creative Cloud Libr
  862 ??         0:18.70 /Library/Application Support/Adobe/Adobe Desktop Commo
  888 ??         0:10.08 /Applications/Utilities/Adobe Creative Cloud/ACC/Creat
  893 ??         0:18.71 /Applications/Utilities/Adobe Creative Cloud/ACC/Creat
  899 ??         0:00.21 /System/Library/Frameworks/ColorSync.framework/Support
  901 ??         0:58.20 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.
  905 ??         0:02.66 /usr/libexec/trustd --agent
  914 ??         0:00.14 /Library/PrivilegedHelperTools/com.adobe.acc.installer
  919 ??         0:00.16 /Library/Application Support/Adobe/Adobe Desktop Commo
  943 ??         0:00.27 /System/Library/Frameworks/ApplicationServices.framewo
  947 ??         0:02.17 /System/Library/PrivateFrameworks/AMPLibrary.framework
  959 ??         0:00.08 /System/Library/PrivateFrameworks/CoreFP.framework/Ver
  960 ??         0:01.41 /System/Library/CoreServices/OSDUIHelper.app/Contents/
  967 ??         0:00.10 /System/Library/PrivateFrameworks/AssistantServices.fr
  970 ??         0:00.02 /System/Library/PrivateFrameworks/IMFoundation.framewo
  974 ??         0:32.44 /System/Library/Services/AppleSpell.service/Contents/M
  975 ??         0:00.22 /usr/libexec/keyboardservicesd
  977 ??         0:00.18 /usr/sbin/distnoted agent
 1002 ??         0:13.53 /System/Library/CoreServices/Siri.app/Contents/XPCServ
 1047 ??         0:11.99 /System/Library/PrivateFrameworks/PackageKit.framework
 1055 ??         0:01.74 /System/Library/PrivateFrameworks/PackageKit.framework
 1691 ??         0:02.08 /System/Library/PrivateFrameworks/GeoServices.framewor
 1696 ??         0:00.08 /usr/libexec/secinitd
 3563 ??         0:00.28 /System/Library/PrivateFrameworks/Categories.framework
 3931 ??         0:00.02 /System/Library/Frameworks/CoreServices.framework/Vers
 4230 ??         0:00.22 /System/Library/Frameworks/ApplicationServices.framewo
 4463 ??         0:12.99 /System/Library/Frameworks/QuickLook.framework/Version
 5758 ??         0:00.92 /System/Library/PrivateFrameworks/CoreRecents.framewor
 5759 ??         0:02.48 /usr/libexec/transparencyd
 5773 ??         0:00.22 /System/Library/PrivateFrameworks/CoreSuggestions.fram
 6043 ??         0:00.01 /System/Library/PrivateFrameworks/ToneLibrary.framewor
 6309 ??         0:00.22 /System/Library/Frameworks/CoreServices.framework/Fram
 8488 ??         0:00.41 /System/Library/Frameworks/Metal.framework/Versions/A/
 8491 ??         0:00.03 /System/Library/Frameworks/Metal.framework/Versions/A/
 8512 ??         0:00.02 /System/Library/Frameworks/AudioToolbox.framework/XPCS
 8513 ??         0:12.72 /System/Library/PrivateFrameworks/AssistantServices.fr
 8514 ??         0:00.09 /usr/libexec/dprivacyd
 8524 ??         0:00.15 /Library/Apple/System/Library/Frameworks/SafariService
 8525 ??         0:13.89 /System/Library/PrivateFrameworks/SafariSafeBrowsing.f
 8541 ??         0:02.65 /System/Library/Frameworks/ApplicationServices.framewo
 8543 ??         0:00.57 /System/Library/PrivateFrameworks/UniversalAccess.fram
 8546 ??         0:00.10 /System/Library/Frameworks/SystemExtensions.framework/
 8547 ??         0:00.22 /usr/libexec/siriknowledged
20879 ??         0:01.24 /System/Library/CoreServices/PowerChime.app/Contents/M
20890 ??         0:00.01 /System/Library/Frameworks/ColorSync.framework/Version
20900 ??         0:00.61 /System/Library/PreferencePanes/Displays.prefPane/Cont
21030 ??         0:19.78 /System/Library/PrivateFrameworks/AssistantServices.fr
22845 ??         0:00.13 /System/Library/PrivateFrameworks/DeviceCheckInternal.
26208 ??         0:00.04 /System/Library/PrivateFrameworks/FMClient.framework/V
46449 ??         0:21.77 /System/Library/CoreServices/backupd.bundle/Contents/R
46478 ??         0:00.77 /usr/libexec/avconferenced
46479 ??         0:00.14 /System/Library/PrivateFrameworks/CoreAccessories.fram
46488 ??         0:00.51 /System/Library/PrivateFrameworks/PerformanceAnalysis.
46568 ??         0:03.81 /Applications/Google Chrome.app/Contents/Frameworks/Go
46668 ??         0:00.27 /System/Library/PrivateFrameworks/IMTranscoding.framew
46809 ??         0:00.20 /usr/sbin/distnoted agent
47108 ??         0:00.04 /usr/sbin/cfprefsd agent
47128 ??         0:00.13 /usr/libexec/lsd
47129 ??         0:00.06 /usr/libexec/secd
47130 ??         0:01.72 /usr/libexec/trustd --agent
47456 ??         0:06.63 /Applications/Google Chrome.app/Contents/Frameworks/Go
47457 ??         0:05.30 /Applications/Google Chrome.app/Contents/Frameworks/Go
47458 ??         1:50.98 /Applications/Google Chrome.app/Contents/Frameworks/Go
47459 ??         0:01.15 /Applications/Google Chrome.app/Contents/Frameworks/Go
47460 ??         0:01.10 /Applications/Google Chrome.app/Contents/Frameworks/Go
47699 ??         0:04.51 /System/Library/PrivateFrameworks/AppStoreDaemon.frame
47745 ??         0:09.32 /System/Library/Frameworks/AppKit.framework/Versions/C
